Model,Residual_strain_microstrain
Zhang,-62.83
Zhang,27.66
Zhang,83.2
Zhang,21.63
Zhang,11.95
Zhang,-99.02
Zhang,-1.26
Zhang,54.3
Zhang,4.06
Zhang,-5.87
Zhang,55.73
Zhang,107.65
Zhang,23.73
Zhang,-4.95
Zhang,53.93
Zhang,37.75
Zhang,15.69
Zhang,66.8
Zhang,61.36
Zhang,-68.11
Zhang,-0.82
Zhang,-59.76
Zhang,-6.65
Zhang,25.5
Zhang,55.35
Zhang,-47.79
Zhang,8.37
Zhang,-49.2
Zhang,62.31
Zhang,-10.3
Zhang,-1.95
Zhang,-9.7
Zhang,-50.09
Zhang,-36.29
Zhang,-46.69
Zhang,-1.27
Zhang,-0.94
Zhang,-28.8
Zhang,18.67
Zhang,32.77
Zhang,-2.45
Zhang,26.41
Zhang,-2.95
Zhang,-43.83
Zhang,103.76
Zhang,-44.52
Zhang,-90.96
Zhang,39.8
Zhang,-27.29
Zhang,107.91
Zhang,-56.8
Zhang,61.71
Zhang,-53.47
Zhang,-25.95
Zhang,-24.24
Zhang,-3.57
Zhang,-27.39
Zhang,54.9
Zhang,-33.56
Zhang,-23.67
Zhang,51.46
Zhang,-84.74
Zhang,-16.89
Zhang,0.73
Zhang,16.26
Zhang,23.85
Zhang,33.28
Zhang,-73.0
Zhang,10.45
Zhang,-45.04
Zhang,-0.4
Zhang,41.0
Zhang,59.33
Zhang,20.65
Zhang,-83.07
Zhang,-50.77
Zhang,42.68
Zhang,-22.67
Zhang,56.36
Zhang,-48.78
Zhang,68.39
Zhang,-25.18
Zhang,-15.57
Zhang,-38.63
Zhang,58.92
Zhang,5.52
Zhang,-16.19
Zhang,19.97
Zhang,-83.03
Zhang,-67.37
Zhang,-36.02
Zhang,76.44
Zhang,32.8
Zhang,-80.48
Zhang,79.95
Zhang,54.78
Zhang,-64.97
Zhang,12.48
Zhang,29.09
Zhang,22.96
Zhang,-43.67
Zhang,5.65
Zhang,-3.47
Zhang,-8.96
Zhang,-86.05
Zhang,4.0
Zhang,-18.25
Zhang,-67.94
Zhang,-85.94
Zhang,20.92
Zhang,1.37
Zhang,-33.74
Zhang,12.43
Zhang,36.27
Zhang,-19.86
Zhang,-4.12
Zhang,38.6
Zhang,39.52
Zhang,42.78
Zhang,37.89
Zhang,-0.88
Zhang,-1.32
Zhang,18.86
Zhang,66.65
Zhang,-68.6
Zhang,51.92
Zhang,1.99
Zhang,79.36
Zhang,-79.13
Zhang,31.0
Zhang,62.58
Zhang,27.87
Zhang,-74.91
Zhang,39.04
Zhang,5.06
Zhang,-26.84
Zhang,-60.58
Zhang,3.6
Zhang,-57.96
Zhang,46.88
Kioumarsi,-32.07
Kioumarsi,-92.93
Kioumarsi,43.75
Kioumarsi,72.3
Kioumarsi,-89.12
Kioumarsi,-63.37
Kioumarsi,44.61
Kioumarsi,5.63
Kioumarsi,17.38
Kioumarsi,43.28
Kioumarsi,97.93
Kioumarsi,0.28
Kioumarsi,59.52
Kioumarsi,30.71
Kioumarsi,55.77
Kioumarsi,-74.16
Kioumarsi,53.73
Kioumarsi,106.2
Kioumarsi,8.07
Kioumarsi,14.0
Kioumarsi,26.84
Kioumarsi,15.78
Kioumarsi,-48.23
Kioumarsi,155.53
Kioumarsi,-66.78
Kioumarsi,-30.27
Kioumarsi,-44.11
Kioumarsi,-47.81
Kioumarsi,154.23
Kioumarsi,79.7
Kioumarsi,46.29
Kioumarsi,41.24
Kioumarsi,-8.31
Kioumarsi,33.19
Kioumarsi,-103.71
Kioumarsi,-52.81
Kioumarsi,22.4
Kioumarsi,-45.71
Kioumarsi,48.71
Kioumarsi,53.47
Kioumarsi,30.78
Kioumarsi,-51.29
Kioumarsi,-75.95
Kioumarsi,101.29
Kioumarsi,112.29
Kioumarsi,58.6
Kioumarsi,34.76
Kioumarsi,-3.55
Kioumarsi,-56.54
Kioumarsi,23.26
Kioumarsi,-49.74
Kioumarsi,76.99
Kioumarsi,14.72
Kioumarsi,-32.61
Kioumarsi,-49.59
Kioumarsi,65.0
Kioumarsi,80.74
Kioumarsi,32.33
Kioumarsi,69.02
Kioumarsi,67.61
Kioumarsi,91.31
Kioumarsi,-14.19
Kioumarsi,-21.42
Kioumarsi,-82.93
Kioumarsi,-20.98
Kioumarsi,-68.29
Kioumarsi,61.34
Kioumarsi,-43.95
Kioumarsi,29.29
Kioumarsi,-37.04
Kioumarsi,-43.29
Kioumarsi,75.75
Kioumarsi,20.97
Kioumarsi,51.62
Kioumarsi,20.62
Kioumarsi,26.62
Kioumarsi,70.95
Kioumarsi,-82.51
Kioumarsi,2.33
Kioumarsi,52.7
Kioumarsi,76.67
Kioumarsi,-3.32
Kioumarsi,-57.09
Kioumarsi,37.53
Kioumarsi,-0.09
Kioumarsi,-27.13
Kioumarsi,16.92
Kioumarsi,95.34
Kioumarsi,129.06
Kioumarsi,-124.66
Kioumarsi,7.23
Kioumarsi,105.26
Kioumarsi,25.46
Kioumarsi,-52.46
Kioumarsi,-33.66
Kioumarsi,0.47
Kioumarsi,36.75
Kioumarsi,62.67
Kioumarsi,-6.77
Kioumarsi,35.85
Kioumarsi,-58.69
Kioumarsi,-19.51
Kioumarsi,74.96
Kioumarsi,-1.37
Kioumarsi,-13.05
Kioumarsi,100.25
Kioumarsi,79.27
Kioumarsi,36.8
Kioumarsi,9.99
Kioumarsi,-51.21
Kioumarsi,70.69
Kioumarsi,85.48
Kioumarsi,85.64
Kioumarsi,11.94
Kioumarsi,1.18
Kioumarsi,-37.99
Kioumarsi,-50.94
Kioumarsi,6.92
Kioumarsi,-16.9
Kioumarsi,43.32
Kioumarsi,34.02
Kioumarsi,-105.91
Kioumarsi,22.94
Kioumarsi,23.67
Kioumarsi,-98.27
Kioumarsi,4.34
Kioumarsi,-7.62
Kioumarsi,-19.64
Kioumarsi,12.89
Kioumarsi,23.33
Kioumarsi,9.11
Kioumarsi,37.3
Kioumarsi,-145.48
Kioumarsi,24.75
Kioumarsi,-66.69
Kioumarsi,7.17
Kioumarsi,13.99
Kioumarsi,15.39
Kioumarsi,50.44
Kioumarsi,-39.06
Xue,-57.06
Xue,21.33
Xue,-55.4
Xue,-12.81
Xue,5.95
Xue,-76.32
Xue,-76.65
Xue,82.53
Xue,34.91
Xue,11.46
Xue,1.52
Xue,15.0
Xue,-6.91
Xue,15.92
Xue,-46.47
Xue,9.28
Xue,-6.91
Xue,-0.01
Xue,8.89
Xue,21.77
Xue,-4.77
Xue,42.24
Xue,31.34
Xue,-21.34
Xue,7.81
Xue,2.29
Xue,-6.72
Xue,49.08
Xue,-4.49
Xue,-25.11
Xue,-28.25
Xue,-26.93
Xue,9.61
Xue,-61.27
Xue,-7.25
Xue,58.12
Xue,-20.23
Xue,0.38
Xue,3.82
Xue,-29.62
Xue,54.26
Xue,-73.56
Xue,-24.86
Xue,34.67
Xue,-51.71
Xue,-75.71
Xue,35.49
Xue,2.25
Xue,7.75
Xue,10.87
Xue,-10.17
Xue,0.81
Xue,20.76
Xue,-70.15
Xue,-7.94
Xue,-20.93
Xue,-21.99
Xue,-9.21
Xue,39.3
Xue,-20.1
Xue,-18.8
Xue,29.42
Xue,-32.18
Xue,-18.28
Xue,-0.15
Xue,-9.93
Xue,90.86
Xue,54.9
Xue,-10.23
Xue,29.52
Xue,4.37
Xue,-6.84
Xue,-0.04
Xue,-44.12
Xue,-5.04
Xue,6.68
Xue,-12.33
