Land_cover,LST_C,GST_C
Grass,18.0,16.87
Grass,18.55,19.2
Grass,19.1,20.19
Grass,19.65,20.02
Grass,20.2,18.33
Grass,20.75,19.4
Grass,21.3,19.07
Grass,21.85,21.04
Grass,22.4,20.66
Grass,22.95,21.24
Grass,23.5,23.59
Grass,24.05,23.65
Grass,24.6,24.46
Grass,25.15,23.71
Grass,25.7,23.7
Grass,26.25,23.37
Grass,26.8,25.83
Grass,27.35,26.58
Grass,27.9,24.54
Grass,28.45,26.57
Grass,29.0,26.68
Grass,29.55,28.48
Grass,30.1,27.4
Grass,30.65,29.16
Grass,31.2,29.88
Grass,31.75,28.24
Grass,32.3,29.95
Grass,32.85,30.96
Cropland,18.0,17.51
Cropland,18.55,19.35
Cropland,19.1,19.08
Cropland,19.65,20.69
Cropland,20.2,20.98
Cropland,20.75,20.85
Cropland,21.3,20.19
Cropland,21.85,22.72
Cropland,22.4,21.7
Cropland,22.95,21.0
Cropland,23.5,23.18
Cropland,24.05,22.87
Cropland,24.6,23.2
Cropland,25.15,22.91
Cropland,25.7,25.29
Cropland,26.25,23.5
Cropland,26.8,25.02
Cropland,27.35,24.28
Cropland,27.9,27.07
Cropland,28.45,27.81
Cropland,29.0,27.81
Cropland,29.55,28.07
Cropland,30.1,26.37
Cropland,30.65,29.1
Cropland,31.2,28.73
Cropland,31.75,28.87
Cropland,32.3,29.09
Cropland,32.85,29.89
Water,18.0,18.12
Water,18.55,18.76
Water,19.1,17.11
Water,19.65,16.55
Water,20.2,19.09
Water,20.75,17.13
Water,21.3,18.73
Water,21.85,18.24
Water,22.4,18.3
Water,22.95,18.04
Water,23.5,18.61
Water,24.05,20.86
Water,24.6,19.32
Water,25.15,18.85
Water,25.7,20.17
Water,26.25,19.84
Water,26.8,19.44
Water,27.35,21.32
Water,27.9,21.94
Water,28.45,22.11
Water,29.0,20.8
Water,29.55,21.84
Water,30.1,23.51
Water,30.65,21.13
Water,31.2,21.32
Water,31.75,23.16
Water,32.3,22.99
Water,32.85,24.28
Urban,18.0,16.78
Urban,18.55,18.8
Urban,19.1,19.62
Urban,19.65,20.79
Urban,20.2,21.09
Urban,20.75,21.87
Urban,21.3,21.01
Urban,21.85,20.46
Urban,22.4,22.79
Urban,22.95,21.86
Urban,23.5,23.1
Urban,24.05,24.76
Urban,24.6,23.81
Urban,25.15,25.19
Urban,25.7,24.57
Urban,26.25,25.91
Urban,26.8,24.68
Urban,27.35,27.41
Urban,27.9,25.83
Urban,28.45,27.49
Urban,29.0,27.95
Urban,29.55,29.31
Urban,30.1,29.07
Urban,30.65,29.95
Urban,31.2,29.99
Urban,31.75,31.94
Urban,32.3,30.32
Urban,32.85,32.51
